date,incheon,gyeonggi,seoul,sum
2020-03-02,0,7,10,17
2020-03-04,2,7,1,10
2020-03-05,0,9,4,13
2020-03-06,0,10,2,12
2020-03-07,0,10,3,13
2020-03-08,0,11,12,23
2020-03-09,0,11,10,21
2020-03-10,4,11,11,26
2020-03-11,12,12,52,76
2020-03-12,0,3,19,22
2020-03-13,2,7,13,22
2020-03-14,1,15,13,29
2020-03-15,2,11,9,22
2020-03-16,0,20,6,26
2020-03-17,1,31,12,44
2020-03-18,1,15,5,21
2020-03-19,0,18,12,30
2020-03-20,4,14,17,35
2020-03-21,4,12,15,31
2020-03-22,0,16,10,26
2020-03-23,0,14,6,20
2020-03-24,1,15,4,20
2020-03-25,1,21,13,35
2020-03-26,1,14,13,28
2020-03-27,3,11,12,26
2020-03-28,5,21,18,44
2020-03-29,7,15,20,42
2020-03-30,0,15,16,31
2020-03-31,6,13,24,43
2020-04-01,5,23,24,52
2020-04-02,4,17,14,35
2020-04-03,1,23,18,42
2020-04-04,3,23,22,48
2020-04-05,2,10,24,36
2020-04-06,1,8,11,20
2020-04-07,0,10,4,14
2020-04-08,4,6,11,21
2020-04-09,0,10,12,22
2020-04-10,1,9,5,15
2020-04-11,0,9,4,13
2020-04-12,1,4,3,8
2020-04-13,1,3,8,12
2020-04-14,1,8,2,11
2020-04-15,0,6,5,11
2020-04-16,0,4,2,6
2020-04-17,1,1,2,4
2020-04-18,1,4,1,6
2020-04-19,1,0,2,3
2020-04-20,1,2,0,3
2020-04-21,0,2,2,4
2020-04-22,0,0,2,2
2020-04-23,0,1,0,1
2020-04-24,0,1,0,1
2020-04-25,0,2,1,3
2020-04-26,0,6,0,6
2020-04-27,0,3,0,3
2020-04-28,1,3,4,8
2020-04-29,0,2,0,2
2020-04-30,0,0,0,0
2020-05-01,1,2,1,4
2020-05-02,1,0,1,2
2020-05-03,0,2,2,4
2020-05-04,1,1,0,2
2020-05-05,1,0,0,1
2020-05-06,0,0,0,0
2020-05-07,0,1,0,1
2020-05-08,0,2,0,2
2020-05-09,1,4,12,17
2020-05-10,3,6,14,23
2020-05-11,3,4,20,27
2020-05-12,1,8,12,21
2020-05-13,2,2,12,16
2020-05-14,12,6,4,22
2020-05-15,5,3,14,22
2020-05-16,0,4,5,9
2020-05-17,0,0,5,5
2020-05-18,0,3,1,4
2020-05-19,2,1,6,9
2020-05-20,8,10,10,28
2020-05-21,6,0,4,10
2020-05-22,1,6,2,9
2020-05-23,0,13,4,17
2020-05-24,2,6,6,14
2020-05-25,1,6,6,13
2020-05-26,3,2,9,14
2020-05-27,11,6,19,36
2020-05-28,22,21,24,67
2020-05-29,18,20,20,58
2020-05-30,5,13,9,27
2020-05-31,3,12,6,21
2020-06-01,18,12,1,31
2020-06-02,8,15,14,37
2020-06-03,17,12,19,48
2020-06-04,7,15,14,36
2020-06-05,6,13,15,34
2020-06-06,11,8,23,42
2020-06-07,6,19,27,52
2020-06-08,4,8,22,34
2020-06-09,3,13,19,35
2020-06-10,8,21,12,41
2020-06-11,6,16,21,43
2020-06-12,1,19,25,45
2020-06-13,1,14,29,44
2020-06-14,8,10,12,30
2020-06-15,8,10,7,25
2020-06-16,2,5,12,19
2020-06-17,2,13,13,28
2020-06-18,1,16,25,42
2020-06-19,0,11,18,29
2020-06-20,5,17,14,36
2020-06-21,0,10,17,27
